path,t,SPX,SJIM,BIG_MAC
0,5/16/2036,7604.41813,46.64775878,9.820632308
0,6/16/2036,7268.728346,48.01853412,9.834410031
0,7/16/2036,7268.42072,49.26358932,9.858765953
0,8/16/2036,7219.356264,49.27932187,9.930636679
0,9/16/2036,7100.94639,50.74745413,9.970213636
0,10/16/2036,7337.578993,50.8745575,10.0193264
0,11/16/2036,7431.15723,52.58760743,10.1144613
0,12/16/2036,7207.457942,50.07652308,10.16065561
0,1/16/2037,7394.220045,51.62072488,10.19962546
0,2/16/2037,7723.095185,50.18041748,10.2344089
0,3/16/2037,8080.785319,47.99890738,10.27075857
0,4/16/2037,8463.816862,48.89993506,10.26915506
0,5/16/2037,8516.005937,47.35414959,10.28634532
0,6/16/2037,8149.722846,48.17641216,10.30986102
0,7/16/2037,7803.416883,50.36750113,10.3439095
0,8/16/2037,7947.992638,48.82451556,10.36688557
0,9/16/2037,7581.304227,47.88629354,10.45457235
0,10/16/2037,7221.175517,48.92762132,10.54662147
0,11/16/2037,7426.036806,51.00410883,10.64290773
0,12/16/2037,7167.95262,50.16463342,10.57362018
0,1/16/2038,6844.606672,48.80290247,10.58085813
0,2/16/2038,6714.374942,47.81160698,10.63665831
0,3/16/2038,6661.102097,48.27658404,10.64959119
0,4/16/2038,6812.936273,49.83827069,10.69279684
0,5/16/2038,6648.426025,51.97350278,10.70540871
0,6/16/2038,6452.13903,52.6987034,10.73026998
0,7/16/2038,6654.523143,53.54852797,10.76231721
0,8/16/2038,6856.469443,53.46187718,10.84633101
0,9/16/2038,6901.693014,52.38356003,10.86060467
0,10/16/2038,6895.292851,50.68512916,10.88092231
0,11/16/2038,7209.659703,52.42977367,10.91687019
0,12/16/2038,7124.355693,53.44270432,10.9339142
0,1/16/2039,7228.58449,55.73075337,10.97847348
0,2/16/2039,7079.142371,57.31381436,11.07604508
0,3/16/2039,7279.061055,55.56822606,11.15140508
0,4/16/2039,7320.324883,52.81837278,11.21554548
0,5/16/2039,6972.072396,53.69490032,11.3082448
0,6/16/2039,7200.980287,51.59898274,11.4038992
0,7/16/2039,7403.203759,53.43905197,11.46459412
0,8/16/2039,7324.933624,54.47136711,11.4942156
0,9/16/2039,7028.78464,52.06881675,11.58867002
0,10/16/2039,6877.987734,52.35763828,11.68492272
0,11/16/2039,6682.239312,51.16358198,11.7685982
0,12/16/2039,6795.388596,51.39867563,11.79139663
0,1/16/2040,6912.24925,51.84000371,11.85261706
0,2/16/2040,7077.32838,53.52421261,11.86851976
0,3/16/2040,7394.705027,56.0170926,11.89263738
0,4/16/2040,7672.468709,54.97644046,11.96658197
0,5/16/2040,7856.863014,52.6681,12.06574643
0,6/16/2040,7987.682703,50.07757903,12.0879094
0,7/16/2040,8093.316609,50.98983929,12.13001232
0,8/16/2040,8166.660119,52.10517925,12.03925887
0,9/16/2040,8467.024038,54.59311966,12.13379423
0,10/16/2040,8368.935054,54.13142927,12.02717658
0,11/16/2040,8694.618426,53.4241465,12.04997451
0,12/16/2040,8767.709051,55.91810206,12.14397198
0,1/16/2041,8738.759146,53.88408973,12.24678397
0,2/16/2041,8906.553319,54.89271627,12.2886911
0,3/16/2041,9106.729069,56.57134218,12.33008312
0,4/16/2041,9220.669998,53.96879694,12.27930751
0,5/16/2041,9598.034446,53.59610139,12.3576821
0,6/16/2041,9216.339171,51.9190127,12.46470832
0,7/16/2041,9068.436708,50.25533271,12.51273333
0,8/16/2041,8695.880608,52.75067311,12.56891394
0,9/16/2041,9057.585506,52.87280413,12.60792976
0,10/16/2041,8613.298876,53.29585647,12.67120885
0,11/16/2041,8267.102479,55.33390208,12.7746282
0,12/16/2041,8286.386495,53.05571203,12.89213743
0,1/16/2042,8432.643918,55.54354211,12.95668191
0,2/16/2042,8580.63406,56.17860178,12.8666026
0,3/16/2042,8715.800531,55.08051784,12.90728569
0,4/16/2042,8432.422744,55.35273012,12.99941095
0,5/16/2042,8192.972481,54.63893096,13.12582181
0,6/16/2042,7951.266877,53.08117033,13.24493309
0,7/16/2042,8044.41061,50.49262022,13.31524091
0,8/16/2042,7715.567522,50.84405282,13.39615731
0,9/16/2042,8057.238243,49.30006341,13.30922126
0,10/16/2042,8065.931528,48.79216225,13.35247996
0,11/16/2042,8220.687812,46.84366387,13.39112684
0,12/16/2042,8563.398418,45.31816323,13.51754901
0,1/16/2043,8758.585696,45.88780579,13.59915499
0,2/16/2043,8437.12934,47.46352938,13.69679372
0,3/16/2043,8069.224769,45.79249997,13.7259068
0,4/16/2043,7858.559452,45.81388217,13.78160274
0,5/16/2043,8162.040472,45.29032332,13.78648116
0,6/16/2043,7930.756167,44.7682471,13.8779636
0,7/16/2043,8255.302952,45.70953929,13.88084358
0,8/16/2043,8340.87219,47.48446803,13.97180422
0,9/16/2043,8047.364636,45.29991102,14.06619587
0,10/16/2043,8241.199369,43.66738899,14.08553872
0,11/16/2043,8095.259154,45.03176347,14.17301399
0,12/16/2043,8015.446871,46.1374499,14.27370597
0,1/16/2044,8128.591418,46.69350183,14.20253939
0,2/16/2044,8079.877503,48.53514001,14.27010169
0,3/16/2044,8366.860181,48.66930734,14.28197873
0,4/16/2044,8215.145474,50.59974152,14.37904626
0,5/16/2044,7955.078944,48.25386839,14.43258877
0,6/16/2044,8026.688599,48.90610382,14.47519604
0,7/16/2044,7974.798123,51.24571394,14.60869391
0,8/16/2044,8251.638047,50.95047706,14.73175398
0,9/16/2044,8353.399916,50.99773881,14.84100873
0,10/16/2044,8423.713737,52.50918064,14.77974892
0,11/16/2044,8463.225091,53.34331537,14.84893398
0,12/16/2044,8740.619775,55.98721239,14.91455466
0,1/16/2045,9129.888244,58.55114618,15.02531317
0,2/16/2045,8927.445815,58.77118445,15.08497187
0,3/16/2045,8663.05132,56.75023274,14.9731369
0,4/16/2045,8956.581225,54.26181857,14.832113
0,5/16/2045,9348.655188,52.07824785,14.85348667
0,6/16/2045,9125.004997,53.81102029,14.92028434
0,7/16/2045,9574.173618,53.32083836,14.98731687
0,8/16/2045,9354.527273,55.42676285,14.87165596
0,9/16/2045,9693.678808,52.70016553,14.91121957
0,10/16/2045,10098.36068,53.3319524,14.76988978
0,11/16/2045,10098.60876,52.41337497,14.86369135
0,12/16/2045,10129.48134,54.06200291,14.99800128
0,1/16/2046,9672.711433,51.48865406,15.05241183
0,2/16/2046,10154.01862,52.19409777,15.16278786
0,3/16/2046,9998.561473,51.4000858,15.24981006
0,4/16/2046,9704.469007,51.26673857,15.39919147
0,5/16/2046,9256.097042,49.95680536,15.52482732
0,6/16/2046,9487.964262,52.01472112,15.66923957
0,7/16/2046,9459.707599,53.32785152,15.71710743
0,8/16/2046,9017.301469,55.33404872,15.74933604
0,9/16/2046,9435.491705,54.32307008,15.75021586
0,10/16/2046,9875.465291,54.40960234,15.89820395
0,11/16/2046,9728.703063,52.47494271,16.04001229
